#   ID    NGCname   IAUname         WideImageURL    ZoomedImageURL    SDSSExploreURL   NSAURL
SAGA012   None      SDSSJ0026+431   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=7.44317&dec=43.2964&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=7.44317&dec=43.2964&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=7.44317&dec=43.2964&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=82428&submit_form=Submit
SAGA013   None      SDSSJ0042+321   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.9622&dec=32.2941&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.9622&dec=32.2941&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=11.9622&dec=32.2941&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=87606&submit_form=Submit
SAGA014   None      SDSSJ0045+325   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=10.8698&dec=32.9504&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=10.8698&dec=32.9504&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=10.8698&dec=32.9504&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=90222&submit_form=Submit
SAGA015   NGC5375   SDSSJ0053+290   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=13.9489&dec=29.1644&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=13.9489&dec=29.1644&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=13.9489&dec=29.1644&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=94217&submit_form=Submit
SAGA016   None      SDSSJ0108+184   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=16.0337&dec=18.8157&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=16.0337&dec=18.8157&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=16.0337&dec=18.8157&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=99614&submit_form=Submit
SAGA017   NGC3687   SDSSJ0043+293   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.4668&dec=29.5111&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=11.4668&dec=29.5111&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=11.4668&dec=29.5111&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=101649&submit_form=Submit
SAGA018   NGC7820   SDSSJ0005+051   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=0.075217&dec=5.20028&scale=14.06250&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=0.075217&dec=5.20028&scale=0.7031250&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=0.075217&dec=5.20028&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=126133&submit_form=Submit
SAGA019   NGC0357   SDSSJ0005-062   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=1.05608&dec=-6.33917&scale=14.06250&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=1.05608&dec=-6.33917&scale=0.7031250&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=1.05608&dec=-6.33917&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=128381&submit_form=Submit
SAGA020   NGC0514   SDSSJ0006+125   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=1.40109&dec=12.9175&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=1.40109&dec=12.9175&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=1.40109&dec=12.9175&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=129387&submit_form=Submit
SAGA021   NGC0520   SDSSJ0002+034   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=1.40926&dec=3.80066&scale=14.062500&opt=G&width=512&height=512   http://skyservice.pha.jhu.edu/dr10/ImgCutout/getjpeg.aspx?ra=1.40926&dec=3.80066&scale=0.70312500&opt=G&width=512&height=512   http://skyserver.sdss3.org/public/en/tools/chart/chart.asp?ra=1.40926&dec=3.80066&opt=G&   http://www.nsatlas.org/getAtlas.html?search=nsaid&nsaID=129431&submit_form=Submit
