RA,Dec,PGC#,NSAID,othername,vhelio,vhelio_err,distance,i,z,I,K
131.71888665,54.1117355771,,10310,,848.242858887,145.000228882,12.2659918662,17.1310248059,17.1666922253,,
130.16783359,53.7779587125,,10331,,3849.29052734,172.500274658,56.0909346267,17.2431740153,17.2546772349,,
129.552551856,54.0829403034,,10338,,3844.15551758,170.000274658,56.0153379389,17.2514282194,17.0534435239,,
134.285647956,53.8168011093,,10675,,2540.10009766,135.000213623,36.8908401609,17.6193684643,17.5845450466,,
138.33427666,54.633524337,,10713,,3962.82666016,180.000274658,57.7623930995,16.4958441445,16.3454535195,,
136.290306175,55.5648849799,,10791,,3827.48974609,177.500274658,55.7699874565,18.1776728619,18.1128287305,,
140.008765197,56.3566525841,,10870,,3866.31884766,180.000274658,56.3416224875,17.0060102263,16.9824754516,,13.56
45.1026901073,-8.09130709353,,11274,,189.904510498,85.0001373291,2.74400990536,12.8280291428,13.0047230592,,
43.4446204099,-7.39556946984,,11304,,1306.46337891,115.000175476,18.9144629395,17.2325971623,17.1536987324,,
47.1187432513,-7.81915547431,,11320,,3473.43994141,117.500183105,50.5638611641,15.287780634,15.2845820103,,
48.4536430077,-8.1473543084,,11391,,3842.68261719,160.000244141,55.993654165,17.6379013133,17.4681835246,,
47.8239267605,-8.08003537123,,11411,,3716.37207031,137.500213623,54.134133072,16.3875059248,16.2330946089,,13.582
48.0278673861,-8.23257663738,,11412,,3820.62231445,152.500228882,55.6688863663,16.2818289181,16.0798788449,,13.59
47.3967583724,-7.95703707959,,11421,,3576.38623047,125.000198364,52.0739688962,17.0951578401,16.9830076478,,
48.9109642731,-7.07881114704,,11445,,3694.18774414,137.500213623,53.8075394227,15.4410770824,15.2684296062,,12.782
51.5678576311,-7.03690501864,,11453,,3895.54345703,162.500259399,56.7718619165,16.9133544401,16.8857360319,,13.709
52.465611604,-7.67507891166,,11538,,3521.81274414,117.500183105,51.2734364591,17.9298198713,17.8596647275,,
54.8080144392,-6.64577551911,,11615,,3932.41674805,165.000259399,57.3147038574,16.089683459,15.1001357295,,
53.9493036342,-6.71808319382,,11624,,3546.98022461,122.500190735,51.6426154475,15.8849435653,15.5069413986,,13.179
54.3601832178,-5.53632449819,,11627,,3781.05981445,152.500228882,55.0864543758,15.8605318699,15.7708330784,,13.638
54.5174131451,-5.35239139137,,11636,,3793.89697266,152.500228882,55.2754407039,17.2334950383,17.117306989,,13.404
58.1842336206,-6.98570416846,,11684,,3912.77368164,160.000244141,57.0255221761,17.900224169,17.8729939062,,
57.750137773,-7.2427280569,,11685,,3782.19702148,150.000228882,55.1031961326,16.6206750563,16.5207986525,,
56.4853043624,-5.14216880892,,11716,,3684.82714844,145.000228882,53.6697344208,18.2609643164,18.2532710257,,
56.8162900474,-4.95495783042,,11719,,3775.12353516,150.000228882,54.9990615425,16.5355757578,16.4178122385,,13.631
57.6675016779,-5.55382144699,,11725,,3899.88134766,157.500244141,56.8357235601,15.840354357,15.6717428305,,
61.1513941153,-6.54649801992,,11777,,3858.99853516,150.000228882,56.233854167,17.7368628782,17.6713397306,,
62.5527296974,-5.0077424176,,11789,,76.7338027954,47.5000762939,1.10802760454,17.0904839954,15.4350598773,,
62.5187759612,-4.95664152506,,11790,,79.3387374878,47.5000762939,1.14568423087,20.2477821056,15.0004562084,,14.014
138.265950785,2.02065801379,,12075,,3962.95751953,160.000244141,57.7643195876,17.9212743847,17.7271501629,,
138.343664851,-0.0724319371441,,12090,,1107.0559082,165.000259399,16.021194867,20.4009140129,19.9395645256,,
148.172606781,2.13282201923,,12424,,3749.10107422,180.000274658,54.6159635653,18.0112058497,17.8405830241,,
148.022734849,62.3527499257,,12601,,929.921386719,147.500244141,13.4510922838,21.0801719624,19.0375160175,,
155.455530817,64.2993330791,,12681,,802.846435547,150.000228882,11.6073203441,17.7117328198,17.7421960385,,
155.456413991,65.3704284117,,12685,,3271.42578125,142.500213623,47.6005377844,16.8922421123,16.8921543743,,13.084
160.853130812,66.2609403811,,12761,,3577.60009766,137.500213623,52.0917749797,17.6064354629,17.537007019,,
164.424837054,65.594479186,,12775,,3519.60180664,137.500213623,51.2410044614,16.3884869609,16.1390934978,,
165.131577292,65.8128961393,,12776,,3489.16577148,137.500213623,50.7945416268,17.9279661864,17.8071737975,,
163.726037261,66.0291710012,,12782,,3528.43554688,137.500213623,51.3705856202,17.2698163273,17.1683778049,,
161.519058101,65.7743640624,,12802,,3609.40820312,135.000213623,52.5594303085,18.1189793358,18.0013808021,,
171.361606374,65.768639768,,12856,,1409.99060059,182.500274658,20.4165731868,18.2070101584,18.2495125616,,
177.13435051,67.9373779703,,12983,,59.8707084656,40.0000610352,0.864256717001,12.2984796641,12.000301945,,
180.34295205,2.18566444448,,13935,,1149.90197754,170.000274658,16.6428624705,18.7701005787,18.7808399052,,
188.193542522,1.56906334015,,14164,,1668.36560059,135.000213623,24.1764424393,17.5938351813,17.6518214408,,
190.617635558,2.72353762113,,14332,,748.660522461,202.500305176,10.8213204091,14.7176869107,14.913794775,,13.6
191.638477682,3.29969932975,,14342,,890.806762695,200.000320435,12.8835654381,15.8940829262,15.7971199975,,13.646
191.935432037,3.56244604779,,14348,,95.2987289429,62.5000991821,1.37639997059,9.42262036807,10.4543281317,,
193.350817019,1.93139899151,,14390,,1038.68505859,185.000289917,15.0291798959,16.459177452,16.5130619583,,
225.67652255,2.05890907827,,15409,,2021.9519043,120.000190735,29.3255934817,11.0122556259,11.188092189,,
226.280450559,1.99785521242,,15422,,2337.53369141,115.000175476,33.9301639043,17.2386746456,16.6255631497,,
113.864900563,31.828097607,,15549,,375.047576904,137.500213623,5.42041607006,12.2955217024,13.1811980864,,13.978
113.65611256,31.751857616,,15551,,347.461547852,137.500213623,5.02163571252,8.93210153999,10.0027440113,,11.543
133.222946318,51.3965562083,,16068,,885.566833496,147.500244141,12.8075375952,15.2760900987,15.1748861803,,14.34
148.729239856,56.6078347678,,16514,,1934.50646973,152.500228882,28.0521568529,17.8598693254,17.7623189333,,
151.881107733,57.7291362287,,16531,,3099.62207031,120.000190735,45.0803681441,17.5820348195,17.601957076,,13.942
156.63509368,58.3129520958,,16537,,3306.43383789,130.000198364,48.1140670967,18.4823680761,18.3527055623,,
155.065828493,58.5301228908,,16556,,3289.22851562,127.500205994,47.8616841266,17.9759906395,18.0208915337,,
134.976473196,3.99384649115,,16840,,3836.15893555,132.500213623,55.8976137003,18.1752197428,18.0563881083,,
135.103721742,3.46043714957,,16846,,3726.21606445,132.500213623,54.2790545785,18.2048567389,18.0807798956,,
137.316696282,4.11315804294,,16896,,3933.41430664,147.500244141,57.3293897351,17.7765038272,17.67553642,,
138.178595028,3.66119911983,,16914,,3958.62524414,155.000244141,57.7005406106,17.7165038879,17.6503475005,,
141.492885149,3.02937688503,,16926,,3791.18676758,170.000274658,55.2355415535,11.0673114199,12.0942164797,,
140.928008225,3.3668464222,,16929,,3698.27124023,162.500259399,53.8676559158,18.0500911238,18.0608943465,,13.588
141.077501156,4.23784374132,,16943,,3776.03857422,162.500259399,55.0125325826,16.4595332306,16.3391242187,,
147.17528693,3.69012859405,,17077,,3148.42944336,157.500244141,45.796318103,17.427649826,17.6977866591,,
154.259713387,3.64599680889,,17332,,1274.01489258,152.500228882,18.4436572613,16.5964738326,16.4840775923,,
157.983258786,4.00334732083,,17445,,2939.15869141,162.500259399,42.7265485806,16.6599893054,16.7773122271,,13.692
157.905332707,4.57282128894,,17449,,1395.93408203,140.000228882,20.2126225715,17.154529539,17.3001193675,,
160.696014695,4.53114355262,,17487,,3345.59887695,145.000228882,48.6885747244,18.4670329973,18.4588275835,,13.797
163.027643343,3.90333399526,,17530,,3962.61181641,205.000320435,57.7592302086,17.2761836884,17.1780925629,,
165.154785184,4.06532545432,,17609,,3850.70922852,200.000320435,56.1118204895,16.7876111208,16.6484013735,,
234.77106324,3.63828263302,,18919,,3639.53588867,172.500274658,53.002964662,17.233658632,17.1596554124,,13.923
234.821806216,3.66104132644,,18934,,3644.77636719,170.000274658,53.0801140417,17.2897803148,17.2569948992,,
235.893418822,3.74603072346,,18965,,3336.70556641,167.500259399,48.5581197353,16.7408605473,16.6138635533,,
169.495536762,64.5101228365,,19085,,3602.01416016,122.500190735,52.4505765413,16.0811484113,15.8908636823,,14.418
173.42168489,63.8239381445,,19109,,2378.13574219,105.000160217,34.523596596,18.5267198454,18.503441609,,14.065
172.792643238,63.6381321146,,19110,,3563.92895508,120.000190735,51.8912345008,18.0242939426,18.0084629489,,
172.347609733,63.6593112668,,19112,,3720.39599609,117.500183105,54.1933725817,16.4391591483,16.669303649,,
172.497242508,63.2234260751,,19114,,1343.45935059,177.500274658,19.4512495669,17.1008463865,17.1794701581,,
171.90859974,63.3131541418,,19121,,3749.87890625,117.500183105,54.6274146682,15.5097022386,15.3804641099,,13.191
171.76189828,63.5336490877,,19122,,3678.05249023,120.000190735,53.5699991244,18.153830227,18.1047980157,,
171.671869399,63.4825754801,,19123,,3732.95751953,117.500183105,54.3783010644,16.3382266545,16.1831191563,,13.265
176.472542183,63.9031304807,,19209,,3820.91796875,120.000190735,55.6732389356,17.9861918071,17.9688320735,,
177.419958848,65.9288107775,,19226,,1880.40515137,165.000259399,27.2642986783,27.5793588685,17.0385282564,,
193.670799912,63.8904347396,,19376,,863.590454102,152.500228882,12.4886751342,15.5868070013,15.7087094671,,
224.129822362,59.5939932162,,19651,,863.129455566,142.500213623,12.481986356,15.7892521892,15.8064240489,,14.306
229.018673202,56.2727259191,,19859,,778.36126709,142.500213623,11.2520570438,13.5714252816,13.5349605904,,
228.052140949,57.0016359709,,19867,,950.187988281,140.000228882,13.7451470202,16.5349585258,16.6117178642,,
229.823440078,60.5765437521,,19913,,2612.37280273,112.500175476,37.9471657674,18.4046962752,18.3128183379,,
232.529651352,55.5759151674,,19923,,3263.36523438,130.000198364,47.4822985136,18.1698452928,18.1447808244,,13.704
231.368603381,54.8536416114,,19926,,2648.4309082,125.000198364,38.4741849247,17.5502053176,17.4431315337,,
229.121463887,55.519082392,,19937,,3305.24755859,132.500213623,48.0966656968,18.0608224235,17.9742640816,,
232.770387643,55.7381070926,,19949,,3279.12280273,132.500213623,47.7134445416,15.7756577704,15.6081563208,,13.234
233.352300425,56.6088009826,,19952,,3454.73754883,140.000228882,50.2895178352,16.0269662923,15.8274461812,,13.217
233.356791881,56.6990559263,,19953,,3284.67358398,135.000213623,47.794868338,17.295732947,17.0741219241,,
233.864440164,56.032811959,,19955,,3302.51831055,132.500213623,48.056630659,16.8530510307,16.8584564568,,
234.511429359,57.5049913906,,19960,,3464.00756836,140.000228882,50.4254987268,17.525069897,17.5673834727,,
235.58425706,53.5294865999,,20001,,3713.20532227,155.000244141,54.0875127783,18.3582846222,18.3663393555,,
235.925862449,53.6623179065,,20003,,3446.35327148,135.000213623,50.1665297979,18.1363600432,17.9633549391,,
235.882880289,57.2428735413,,20084,,3886.38085938,170.000274658,56.6369718062,18.0008001891,17.7736168471,,
234.686369289,56.7137807849,,20085,,3136.63989258,127.500205994,45.6233784861,17.9273029878,17.7486950471,,
236.293438803,58.0666092175,,20090,,3779.21923828,157.500244141,55.0593577453,17.8562104924,17.8734767659,,13.247
236.326024411,57.4098454208,,20091,,3887.390625,170.000274658,56.6518373936,15.9489122543,15.787966362,,13.216
236.14314929,57.2150553949,,20092,,3480.48876953,137.500213623,50.6672596445,16.0785687205,15.9527638193,,13.855
235.226371388,56.8608774501,,20093,,3351.08520508,135.000213623,48.7690530651,16.2108822905,16.0966549956,,
238.664316725,55.6850616756,,20245,,3359.68212891,130.000198364,48.8951603902,18.1758721076,18.116363784,,
241.417948508,50.7545253188,,20293,,3720.13769531,157.500244141,54.1895699242,17.2101134944,17.2447547602,,13.548
242.227307467,51.0685959528,,20378,,3680.36865234,152.500228882,53.6040972453,17.8554673566,17.7189832105,,
243.031416188,49.0986064502,,20515,,3762.47241211,167.500259399,54.8128139904,17.0998441475,16.8717958229,,12.853
244.379590119,50.7455392509,,20527,,3942.42895508,200.000320435,57.4621017637,16.4551812315,16.3494568968,,14.027
242.809159384,51.1924399154,,20569,,3747.54003906,165.000259399,54.5929822873,15.9548281555,15.7981718902,,13.14
244.098046745,47.0339807047,,20665,,1027.00512695,130.000198364,14.8597119558,17.9915197744,18.099634017,,
246.972866339,48.4248825807,,20717,,3910.72387695,195.000305176,56.9953453211,16.8670417951,16.8211967633,,14.082
249.129164385,46.3248501568,,20843,,2478.32885742,125.000198364,35.9880021845,17.0548003028,16.9916880439,,13.678
308.993978099,-6.88740184308,,21348,,3765.93725586,195.000305176,54.8638227953,16.0631753203,16.2900887725,,13.189
309.481427253,-4.58345095562,,21362,,3557.63720703,175.000259399,51.7989415443,17.7878033487,17.6165358392,,
310.461973848,-4.90692858724,,21375,,3601.04370117,185.000289917,52.4362896191,16.8532676472,16.6958350911,,13.961
310.487131378,-5.29890306502,,21413,,3400.28417969,155.000244141,49.4907473839,18.2864094294,17.9433060206,,
321.973037532,-7.02051563762,,21613,,3193.07641602,122.500190735,46.4512396085,15.8380821677,15.7354153128,,12.694
354.966843956,-10.2276027153,,21756,,3400.81835938,187.500289917,49.4985832067,17.9168629964,17.8827376683,,13.743
3.43920514412,-9.93434112367,,21900,,3809.60302734,150.000228882,55.5066624087,17.4619828341,17.4543591616,,
7.84098392663,-10.4070446525,,22003,,3646.77124023,142.500213623,53.109482203,17.5727330474,17.6789962081,,
7.84250409505,-10.3783998075,,22004,,3517.23950195,145.000228882,51.2063520751,18.1007478365,18.2657315859,,
7.86480384658,-10.6758843573,,22012,,3514.7565918,145.000228882,51.1699305405,17.7956911645,17.6612879358,,
11.9660051388,-11.1748656068,,22203,,3930.76171875,127.500205994,57.2903388145,18.1817557922,18.0865113845,,
11.5366766397,-10.4086133191,,22217,,3876.68212891,130.000198364,56.4941888452,18.093996586,17.8610206262,,13.942
19.8095371968,-9.59615743102,,22610,,1731.23913574,130.000198364,25.0920472738,18.0021141173,18.1247451903,,
21.1849402117,-8.84354569026,,22656,,3889.67578125,107.500167847,56.6854790518,15.4974196836,15.3693889066,,12.753
21.854700351,-8.68925405592,,22719,,3887.00024414,110.000175476,56.646090277,18.2495275648,18.3470379027,,
23.0928974726,-8.63400175652,,22725,,3865.60644531,110.000175476,56.3311346287,17.9483712102,17.9072153951,,
26.1490639183,-8.25168046759,,22963,,3844.34960938,112.500175476,56.0181953233,15.8263547351,15.6808316638,,
27.9867410493,-9.34063502037,,23076,,3848.70043945,112.500175476,56.0822474592,18.1809318183,18.2957332251,,
28.8177805405,-8.85431036369,,23147,,3837.51123047,115.000175476,55.9175219423,17.1935405943,17.0654869292,,
30.819280107,-9.89067182647,,23182,,3771.81396484,115.000175476,54.9503386452,15.6666849807,15.5257300094,,12.878
30.9926951288,-8.04896685749,,23234,,3831.76611328,120.000190735,55.8329433631,18.0268920772,18.1220449321,,13.075
32.2714561822,-9.70038698019,,23268,,3714.92382812,117.500183105,54.1128123117,17.3594593586,17.2981972278,,
32.1529237377,-9.93773788405,,23273,,3872.4284668,120.000190735,56.4315671987,17.3996870499,17.2382910233,,
32.3303249964,-9.86763220238,,23275,,3727.48095703,115.000175476,54.2976760989,15.9286173636,15.8537520224,,
32.0014077252,-7.8652822295,,23288,,3786.7565918,117.500183105,55.1703213045,16.5214929593,16.3520040524,,
31.9337339249,-8.00942617605,,23291,,3795.92651367,117.500183105,55.3053192407,17.048377746,16.9538857873,,
32.2174991057,-7.84634814605,,23297,,3841.02148438,120.000190735,55.9691992673,16.3048356477,16.2369950715,,13.205
32.2707523984,-7.79381114013,,23298,,3671.2512207,117.500183105,53.4698720608,17.7693976153,17.7052878131,,9.874
32.1583443432,-7.90392006896,,23299,,3720.28881836,120.000190735,54.1917947304,16.9877771837,16.8572172624,,
32.2361306345,-8.17295730217,,23300,,3714.73486328,117.500183105,54.1100304053,15.8487638441,15.6653684583,,
32.2640645655,-7.84744228807,,23301,,3660.71411133,117.500183105,53.3147466368,16.9127992942,16.7531446769,,
32.181566166,-7.83037916016,,23303,,3896.25170898,122.500190735,56.7822886741,15.9309517802,15.8320729197,,13.205
32.4554697874,-7.78237956093,,23309,,3671.88110352,117.500183105,53.479145082,15.9439866264,15.783904763,,12.924
33.176901673,-8.46241847933,,23323,,3790.36083984,120.000190735,55.2233823943,17.7458952444,17.6217440146,,
35.4806162105,-9.4762381703,,23331,,3568.05810547,117.500183105,51.9518045513,16.9090521525,16.9140856456,,
35.2450371633,-9.52861192286,,23337,,3670.97363281,120.000190735,53.465785462,16.9460895958,16.9050930443,,13.211
34.7204525078,-9.20523088055,,23348,,3674.17675781,117.500183105,53.5129412906,19.2833387279,19.5466224574,,
34.5901120929,-9.29111070417,,23349,,3676.38916016,120.000190735,53.5455118789,15.4543758713,15.4606129013,,
34.2133103826,-8.96398631815,,23360,,3801.94189453,122.500190735,55.393876593,15.0503089789,14.9262302283,,12.605
33.4304286025,-8.50911317954,,23366,,3757.11230469,120.000190735,54.7339034556,17.1730497635,17.2593248642,,
345.784658701,-0.535739287747,,23447,,2383.37451172,150.000228882,34.6001655635,18.2837144777,18.3167840883,,
344.545414266,-0.00722427734924,,23454,,3518.81982422,170.000274658,51.2295336477,18.2181618953,18.2820380473,,
345.7831218,-0.412026090441,,23467,,324.010894775,102.500160217,4.68263585864,12.3417612436,12.7066503885,,
353.329742774,-0.109088825564,,23518,,2401.72412109,152.500228882,34.8683603436,18.8570684399,18.8357223477,,
1.85453997285,-0.13133583404,,23573,,60.4622459412,37.5000572205,0.872807912447,15.5625798237,17.466878606,,
4.11771700332,1.13384737445,,23589,,3159.26782227,157.500244141,45.9553050848,19.6044553295,19.6880792156,,
16.8497311279,1.00235825043,,23747,,524.580810547,122.500190735,7.58205072436,17.1384210758,17.1771850757,,
17.9039912921,0.272718413009,,23786,,1690.99816895,137.500213623,24.5060324481,18.7375723346,18.6840349659,,
40.6915969576,-0.0236053477593,,23964,,1028.15869141,125.000198364,14.876449399,10.4366846793,10.1768198722,,5.788
40.4559395756,0.428275559156,,23979,,1150.06286621,120.000190735,16.6451968568,13.3831780773,13.0956166607,,7.151
41.9300182156,-0.383256752876,,23991,,2556.40551758,137.500213623,37.1291574146,18.4071940142,18.3546923357,,13.964
50.0557901535,0.90388484893,,24083,,83.2108840942,50.0000801086,1.20165952203,17.2250561477,16.6589178802,,
332.58595272,-9.19202002094,,24217,,3006.02636719,132.500213623,43.7074231234,16.7631340593,16.6414852709,,12.961
339.894608726,-9.37148183961,,24334,,3950.87597656,137.500213623,57.5864572908,16.7034496475,16.6313385177,,
339.854507135,-8.76610799689,,24353,,3872.59619141,142.500213623,56.4340364102,18.200590969,18.2007912406,,
340.878709513,-8.64570027186,,24362,,3915.36645508,140.000228882,57.063692519,15.4964466475,15.3917980574,,13.396
344.852796607,-10.4876654135,,24432,,3162.24511719,172.500274658,45.9989786949,17.478861071,17.3963882698,,
316.524493702,9.25276383231,,24498,,3572.39038086,172.500274658,52.01535422,16.636501155,16.6162813521,,13.821
316.874013327,9.35397197355,,24564,,3989.29516602,177.500274658,58.1520576696,16.8092565545,16.8542318353,,
319.394891054,11.0118121582,,24611,,3102.99487305,112.500175476,45.1298434145,17.9829114032,17.9046919895,,
323.624482506,10.9465272156,,24698,,320.094207764,105.000160217,4.62601669667,12.1037173304,11.5969233546,,
323.764605121,10.9603846391,,24700,,3252.06689453,125.000198364,47.3165644156,16.9660713435,16.8542015315,,
336.861095779,12.0946045858,,24998,,3349.05151367,162.500259399,48.7392210707,16.3176525798,16.2514580455,,
342.499547065,13.2693696815,,25072,,3443.35546875,157.500244141,50.122555361,18.4015198571,18.362243734,,
342.816390964,14.8205897428,,25092,,3413.41748047,160.000244141,49.683398321,18.3899405171,18.4384367634,,
344.298058752,12.9690456365,,25105,,3441.63330078,152.500228882,50.0972930695,17.0238496664,16.9647809866,,
343.955190396,14.7540939471,,25135,,2693.04589844,127.500205994,39.1262700592,17.4110793855,17.3686179903,,
345.81982721,13.563407105,,25153,,3473.48095703,150.000228882,50.5644628178,16.5990018455,16.4946870414,,
346.562734764,14.6586945007,,25224,,1419.77844238,125.000198364,20.5585881779,17.050547833,17.0779106565,,
346.833641341,13.1000897363,,25250,,2331.09863281,155.000244141,33.8361101787,18.0860214913,17.9110966408,,14.017
346.350370353,14.993638757,,25273,,3809.76171875,150.000228882,55.5089986349,15.6450023128,15.8144950344,,
346.676395745,14.8083008498,,25279,,3785.82373047,150.000228882,55.1565878883,17.3880673733,17.3324738827,,13.903
349.029148349,13.2601716223,,25309,,3897.61523438,147.500244141,56.802362249,18.1494440998,18.0171570743,,
351.38988758,14.2542068051,,25408,,3683.30419922,150.000228882,53.647313837,17.6286339957,17.4840932089,,
350.117550871,15.0724957799,,25500,,3727.04638672,155.000244141,54.2912784332,15.2157417116,15.0258613405,,12.169
351.375762716,14.1057694432,,25614,,3901.64794922,150.000228882,56.8617311497,18.2470932851,18.1031666646,,
354.036288099,15.7442423814,,25751,,3976.28100586,150.000228882,57.9604655507,16.5134551937,16.7268569881,,
0.265024110215,14.5801624273,,25837,,1529.89562988,140.000228882,22.1599537165,17.355927474,17.2986116476,,14.049
3.06114145456,15.2574402738,,25964,,1697.4017334,162.500259399,24.59928527,18.0792109476,18.1338860498,,
