RA,Dec,PGC#,NSAID,othername,vhelio,distance,r,i,z,I,K,K_err
182.478158044,13.0506276042,38684,169829,IC3021,2535.00390625,36.9876480103,15.6169139819,15.3667404131,15.2697669939,15.01,13.478,0.139
182.484415952,36.4357984829,38685,140854,PGC038685,339.0,4.83,14.3119923905,14.2132623032,14.1660086945,14.79,14.126,0.161
182.493283217,46.4573870878,38688,60539,12095840+4627266,265.0,6.87,11.8252637268,11.6544244171,11.5554501892,11.5,9.389,0.029
182.507652381,14.3664707477,38692,169830,IC3023,817.0,15.4074010849,16.0794149924,15.8430058051,15.8653818656,16.02,,
182.506179163,39.8839614701,38693,161141,NGC_4145,1016.00164795,18.7670288086,12.0722636293,11.757430942,11.6011008333,10.18,8.473,0.027
182.55915,-29.73644,38711,,g1210142-294412,2127.0,,,,,11.19,9.69,0.035
182.5587,-30.07839,38712,,ESO441-014,2166.0,,,,,13.29,12.404,0.163
182.552458965,64.7606283504,38717,19266,PGC038717,1349.99072266,25.1571388245,15.0211723663,14.7722500183,14.633253894,14.48,,
182.59215,70.5154,38724,,UGC07164,2124.0,,,,,,,
182.596340049,10.1884463376,38726,48856,IC3025,453.151489258,8.7675485611,14.8780595325,14.6692306064,14.5736028217,14.28,12.422,0.166
182.601664309,13.1706151559,38728,170435,PGC038728,1245.11425781,20.8054962158,16.4145998793,16.2759013014,16.1731638747,15.57,14.355,0.252
182.62755,70.3693,38730,,UGC07168,2181.0,,,,,,,
182.63595,39.40579,38739,,NGC_4151,999.0,,,,,,7.371,0.016
182.636759434,58.3041974216,38741,52647,12103283+5818148,3057.93725586,44.8735084534,13.6969828313,13.2941260046,12.9766153997,12.65,9.789,0.019
182.640342902,30.4016075305,38742,140865,NGC_4150,226.0,6.17054080963,11.8563326363,11.5355776314,11.2631948952,,8.982,0.016
182.648790792,11.7608009303,38747,170436,PGC038747,1285.35473633,21.2875785828,15.6801439551,15.4894300727,15.3658987311,14.78,12.566,0.152
182.653977325,18.8274989409,38748,118315,UGC07170,2443.0847168,36.2055435181,14.749136588,14.5491129368,14.3914858311,14.12,12.372,0.103
182.656315908,16.0329034885,38749,117685,12103750+1601585,2150.90576172,32.5145874023,12.595959474,12.3419082656,12.1471355452,,9.617,0.026
182.67082499,14.646016315,38754,140868,PGC038754,2469.00366211,36.3122940063,18.2842858024,18.1648113914,17.8452713676,,,
182.68815,-26.70412,38763,,ESO505-025,1886.0,,,,,15.41,,
182.7327,50.28837,38767,,UGC07176,888.0,,,,,15.34,,
